,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
172,conv2d_56,1,1,160,7,31,34720,1,1,160,13,25,52000,0,1,160,1,7,179200,0.0,1.792e-05,0,1.792e-05,3.7975e-05,0.0,3.7975e-05,5.5895000000000006e-05,3.7975e-05
173,batch_normalization_51,1,1,160,13,25,52000,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.625e-06,1.625e-06,1.625e-06,1.625e-06
174,batch_normalization_56,1,1,160,13,25,52000,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.625e-06,1.625e-06,1.625e-06,1.625e-06
175,activation_100,1,1,160,13,25,52000,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.625e-06,1.625e-06,1.625e-06,1.625e-06
176,activation_105,1,1,160,13,25,52000,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.625e-06,1.625e-06,1.625e-06,1.625e-06
177,conv2d_52,1,1,160,13,25,52000,1,1,160,19,19,57760,0,1,160,1,7,179200,0.0,1.792e-05,0,1.792e-05,5.6875e-05,0.0,5.6875e-05,7.4795e-05,5.6875e-05
178,conv2d_57,1,1,160,13,25,52000,1,1,160,7,31,34720,0,1,160,7,1,179200,0.0,1.792e-05,0,1.792e-05,5.6875e-05,0.0,5.6875e-05,7.4795e-05,5.6875e-05
179,batch_normalization_52,1,1,160,19,19,57760,1,1,160,19,19,57760,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.805e-06,1.805e-06,1.805e-06,1.805e-06
180,batch_normalization_57,1,1,160,7,31,34720,1,1,160,7,31,34720,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.085e-06,1.085e-06,1.085e-06,1.085e-06
181,activation_101,1,1,160,19,19,57760,1,1,160,19,19,57760,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.805e-06,1.805e-06,1.805e-06,1.805e-06
182,activation_106,1,1,160,7,31,34720,1,1,160,7,31,34720,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.085e-06,1.085e-06,1.085e-06,1.085e-06
183,average_pooling2d_5,1,1,768,13,25,249600,1,1,160,11,29,51040,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,7.8e-06,7.8e-06,7.8e-06,7.8e-06
184,conv2d_50,1,1,768,13,25,249600,1,1,192,13,25,62400,0,1,192,1,1,147456,0.0,1.47456e-05,0,1.47456e-05,4.68e-05,0.0,4.68e-05,6.15456e-05,4.68e-05
185,conv2d_53,1,1,160,19,19,57760,1,1,192,13,25,62400,0,1,192,7,1,215040,0.0,2.1504e-05,0,2.1504e-05,7.581e-05,0.0,7.581e-05,9.7314e-05,7.581e-05
186,conv2d_58,1,1,160,7,31,34720,1,1,192,13,25,62400,0,1,192,1,7,215040,0.0,2.1504e-05,0,2.1504e-05,4.557e-05,0.0,4.557e-05,6.7074e-05,4.557e-05
187,conv2d_59,1,1,160,11,29,51040,1,1,192,11,29,61248,0,1,192,1,1,30720,0.0,3.072e-06,0,3.072e-06,9.57e-06,0.0,9.57e-06,1.2642e-05,9.57e-06
